,Unnamed: 0,intersect,obs,forecast,date,level_0,index,x,y,case,fcsthr,met_x,met_y,interest,area,bound_dist,percentile_90,centroid_dist,length,julian_date,real_date,ddif
93,189,547.0,671.0,950.0,19870209_000000,88,88,-147.62896,31.02015,F001,1440000.0,129.48415,484.08058,0.87175,0.59463,0.0,874.15109,16.81314,99.75847,40,,
94,190,42.0,937.0,712.0,19870210_000000,89,89,-132.67076,35.92699,F001,1440000.0,189.31695,503.70798,0.83219,0.31483,0.0,701.65589,26.87887,116.10876,41,,
95,192,695.0,1964.0,990.0,19870212_000000,91,91,-149.51389,33.01923,F001,1440000.0,121.94444,492.07692,0.87463,0.5672,0.0,623.46156,15.74907,65.76231,43,,
96,193,319.0,1699.0,968.0,19870213_000000,92,92,-131.82071,34.54221,F001,1440000.0,192.71717,498.16883,0.92119,0.94369,0.0,692.78903,4.79382,67.68148,44,,
97,194,-999.0,-999.0,-999.0,19870214_000000,1726,33,-144.46494,31.9265,O001,1440000.0,142.14023,487.706,,,,662.17406,,61.28371,45,,
98,195,-999.0,-999.0,-999.0,19870215_000000,1727,34,-128.46282,35.76971,O001,1440000.0,206.1487,503.07884,,,,786.40805,,67.04896,46,,
101,203,-999.0,-999.0,-999.0,19870223_000000,1730,37,-155.69004,45.07414,O001,1440000.0,97.23983,540.29657,,,,642.8039,,117.5046,54,,
102,204,-999.0,-999.0,-999.0,19870224_000000,1731,149,-154.0535,36.30843,O001,1440000.0,103.786,505.23373,,,,721.89191,,70.46764,55,1987-02-24,6 days
104,210,1306.0,1603.0,2014.0,19870302_000000,93,93,-138.75327,35.23694,F001,1440000.0,164.98694,500.94774,0.72384,0.16712,0.0,640.26494,44.31009,60.09714,61,,
105,211,2499.0,4481.0,3035.0,19870303_000000,94,152,-137.01227,29.30376,F001,1440000.0,171.95092,477.21506,0.93472,0.78179,0.0,973.86844,9.31191,127.4231,62,1987-03-03,7 days
106,213,2208.0,3043.0,2777.0,19870305_000000,96,96,-128.25084,36.92827,F001,1440000.0,206.99663,507.71308,0.84994,0.51134,0.0,1026.03144,18.9859,163.9738,64,,
108,216,-999.0,-999.0,-999.0,19870308_000000,1354,18,-132.99058,33.02933,F001,1440000.0,188.03767,492.11733,,,,731.66727,,81.17775,67,,
109,217,-999.0,-999.0,-999.0,19870309_000000,1355,19,-153.30907,33.32549,F001,1440000.0,106.76373,493.30196,,,,777.72674,,66.51451,68,,
110,218,478.0,856.0,784.0,19870310_000000,97,158,-141.22838,35.46757,F001,1440000.0,155.08647,501.87029,0.74465,0.15026,0.0,660.50752,21.2974,78.60192,69,1987-03-10,6 days
